2022-04-28 16:33:41,282 | INFO | postprocessing_manager | Sent SIGKILL to PID=75547 (raw_data_feed_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:33:41,284 | INFO | postprocessing_manager | Sent SIGKILL to PID=75553 (stitcher_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:33:41,284 | INFO | postprocessing_manager | Sent SIGKILL to PID=75553 (stitcher_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,660 | INFO | postprocessing_manager | Post-process manager beginning to spawn processes | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,660 | INFO | postprocessing_manager | Post-process manager beginning to spawn processes | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,660 | INFO | postprocessing_manager | Post-process manager beginning to spawn processes | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,662 | INFO | postprocessing_manager | Post-process manager spawning raw_data_feed_w, <function raw_data_feed at 0x138be20d0>, ('trajectories', 'raw_trajectories_one', 50, <AutoProxy[Queue] object, typeid 'Queue' at 0x138bc8d90>, 'west') | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,662 | INFO | postprocessing_manager | Post-process manager spawning raw_data_feed_w, <function raw_data_feed at 0x138be20d0>, ('trajectories', 'raw_trajectories_one', 50, <AutoProxy[Queue] object, typeid 'Queue' at 0x138bc8d90>, 'west') | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,662 | INFO | postprocessing_manager | Post-process manager spawning raw_data_feed_w, <function raw_data_feed at 0x138be20d0>, ('trajectories', 'raw_trajectories_one', 50, <AutoProxy[Queue] object, typeid 'Queue' at 0x138bc8d90>, 'west') | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,672 | INFO | postprocessing_manager | Post-process manager spawning stitcher_w, <function stitch_raw_trajectory_fragments at 0x138be55e0>, ('west', <AutoProxy[Queue] object, typeid 'Queue' at 0x138bc8d90>, <AutoProxy[Queue] object, typeid 'Queue' at 0x138beb0d0>) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,672 | INFO | postprocessing_manager | Post-process manager spawning stitcher_w, <function stitch_raw_trajectory_fragments at 0x138be55e0>, ('west', <AutoProxy[Queue] object, typeid 'Queue' at 0x138bc8d90>, <AutoProxy[Queue] object, typeid 'Queue' at 0x138beb0d0>) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,672 | INFO | postprocessing_manager | Post-process manager spawning stitcher_w, <function stitch_raw_trajectory_fragments at 0x138be55e0>, ('west', <AutoProxy[Queue] object, typeid 'Queue' at 0x138bc8d90>, <AutoProxy[Queue] object, typeid 'Queue' at 0x138beb0d0>) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,681 | INFO | postprocessing_manager | Started all processes. | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,681 | INFO | postprocessing_manager | Started all processes. | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:17,681 | INFO | postprocessing_manager | Started all processes. | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:34,110 | INFO | postprocessing_manager | Sent SIGKILL to PID=75734 (raw_data_feed_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:34,110 | INFO | postprocessing_manager | Sent SIGKILL to PID=75734 (raw_data_feed_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:34,110 | INFO | postprocessing_manager | Sent SIGKILL to PID=75734 (raw_data_feed_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:34,112 | INFO | postprocessing_manager | Sent SIGKILL to PID=75735 (stitcher_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:34,112 | INFO | postprocessing_manager | Sent SIGKILL to PID=75735 (stitcher_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
2022-04-28 16:39:34,112 | INFO | postprocessing_manager | Sent SIGKILL to PID=75735 (stitcher_w) | {'serverid': 'Yanbings-MacBook-Pro.local', 'environment': 'DEF_ENV', 'ownername': 'postprocessing_manager', 'ownerpid': 62437, 'parentname': None}
