,datetime,lat1,lon1,timestamp,lat2,lon2
53,2021-06-16 20:58:13.863900,35.9931735,-86.596452,1623877093.8639,35.99326933,-86.59665667
54,2021-06-16 20:58:13.897200,35.9931735,-86.5964525,1623877093.8972,35.99326967,-86.59665717
55,2021-06-16 20:58:13.930500,35.99317367,-86.59645317,1623877093.9305,35.99327,-86.59665783
56,2021-06-16 20:58:13.963800,35.99317383,-86.59645367,1623877093.9638,35.99327033,-86.59665833
57,2021-06-16 20:58:13.997100,35.993174,-86.59645417,1623877093.9971,35.99327067,-86.59665883
58,2021-06-16 20:58:14.030400,35.99317417,-86.59645483,1623877094.0304,35.993271,-86.59665933
59,2021-06-16 20:58:14.063700,35.99317417,-86.59645533,1623877094.0637,35.99327133,-86.59666
60,2021-06-16 20:58:14.097000,35.99317433,-86.59645583,1623877094.097,35.99327167,-86.5966605
61,2021-06-16 20:58:14.130300,35.9931745,-86.5964565,1623877094.1303,35.993272,-86.596661
62,2021-06-16 20:58:14.163600,35.99317467,-86.596457,1623877094.1636,35.99327233,-86.5966615
63,2021-06-16 20:58:14.196900,35.99317483,-86.5964575,1623877094.1969,35.99327267,-86.596662
64,2021-06-16 20:58:14.230200,35.99317483,-86.59645817,1623877094.2302,35.993273,-86.59666267
65,2021-06-16 20:58:14.263500,35.99317483,-86.5964585,1623877094.2635,35.99327333,-86.59666317
66,2021-06-16 20:58:14.296800,35.993175,-86.59645917,1623877094.2968,35.99327367,-86.59666367
67,2021-06-16 20:58:14.330100,35.99317517,-86.59645967,1623877094.3301,35.993274,-86.59666417
68,2021-06-16 20:58:14.363400,35.99317533,-86.59646033,1623877094.3634,35.99327667,-86.596668
69,2021-06-16 20:58:14.396700,35.99317533,-86.59646083,1623877094.3967,35.993277,-86.59666867
70,2021-06-16 20:58:14.430000,35.9931755,-86.59646133,1623877094.43,35.9932775,-86.59666933
71,2021-06-16 20:58:14.463300,35.99317567,-86.596462,1623877094.4633,35.99327783,-86.59666983
72,2021-06-16 20:58:14.496600,35.99317583,-86.5964625,1623877094.4966,35.99327817,-86.5966705
73,2021-06-16 20:58:14.529900,35.993176,-86.596463,1623877094.5299,35.99327867,-86.596671
74,2021-06-16 20:58:14.563200,35.99317617,-86.59646367,1623877094.5632,35.993279,-86.59667167
75,2021-06-16 20:58:14.596500,35.99317617,-86.59646417,1623877094.5965,35.99327933,-86.59667233
76,2021-06-16 20:58:14.629800,35.99317633,-86.59646467,1623877094.6298,35.99327967,-86.59667283
77,2021-06-16 20:58:14.663100,35.9931765,-86.59646533,1623877094.6631,35.99328017,-86.5966735
78,2021-06-16 20:58:14.696400,35.99317667,-86.59646583,1623877094.6964,35.9932805,-86.596674
79,2021-06-16 20:58:14.729700,35.99317683,-86.59646633,1623877094.7297,35.99328083,-86.59667467
80,2021-06-16 20:58:14.763000,35.993177,-86.596467,1623877094.763,35.99328117,-86.59667533
81,2021-06-16 20:58:14.796300,35.99317717,-86.5964675,1623877094.7963,35.99328167,-86.59667583
82,2021-06-16 20:58:14.829600,35.99317733,-86.596468,1623877094.8296,35.993282,-86.5966765
83,2021-06-16 20:58:14.862900,35.9931775,-86.59646867,1623877094.8629,35.99328367,-86.596679
84,2021-06-16 20:58:14.896200,35.99317767,-86.59646917,1623877094.8962,35.99328417,-86.59667967
85,2021-06-16 20:58:14.929500,35.99317783,-86.59646983,1623877094.9295,35.9932845,-86.59668033
86,2021-06-16 20:58:14.962800,35.993178,-86.59647033,1623877094.9628,35.993285,-86.596681
87,2021-06-16 20:58:14.996100,35.99317817,-86.59647083,1623877094.9961,35.99328533,-86.5966815
88,2021-06-16 20:58:15.029400,35.99317833,-86.5964715,1623877095.0294,35.99328567,-86.59668217
